"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Dec-2019","    12347.25","    12347.25","    12252.55","    12267.75","      753781413","        19123.69"
"01-Jan-2020","    12299.85","    12320.75","    12263.20","    12279.05","      446251194","        12946.17"
"02-Jan-2020","    12294.95","    12387.65","    12292.20","    12380.50","      645781490","        19429.69"
"03-Jan-2020","    12359.70","    12368.60","    12292.40","    12328.60","      671669795","        21761.81"
"06-Jan-2020","    12270.25","    12278.25","    12070.75","    12090.60","      652762014","        21896.93"
"07-Jan-2020","    12174.65","    12255.75","    12106.30","    12154.95","      736051577","        23115.45"
"08-Jan-2020","    12034.40","    12145.00","    12026.80","    12131.45","      948960796","        22902.66"
"09-Jan-2020","    12259.55","    12328.25","    12241.75","    12319.70","     1053400858","        24027.71"
"10-Jan-2020","    12372.00","    12412.95","    12316.60","    12359.70","      939484313","        24092.51"
"13-Jan-2020","    12401.15","    12442.55","    12391.50","    12436.45","      783662824","        22316.59"
"14-Jan-2020","    12442.60","    12480.45","    12417.70","    12468.55","      838396839","        23098.00"
"15-Jan-2020","    12458.30","    12470.35","    12392.55","    12458.85","      974972459","        23105.34"
"16-Jan-2020","    12468.60","    12506.40","    12431.50","    12470.60","      732714264","        20716.27"
"17-Jan-2020","    12445.75","    12500.95","    12439.15","    12471.15","     1709289047","        26290.92"
"20-Jan-2020","    12544.40","    12544.40","    12335.10","    12343.20","     1063748617","        26310.52"
"21-Jan-2020","    12314.45","    12349.40","    12279.50","    12287.25","     1256487056","        23778.92"
"22-Jan-2020","    12335.10","    12341.10","    12213.65","    12230.85","     1078861020","        25914.85"
"23-Jan-2020","    12248.20","    12321.40","    12220.70","    12312.90","     1699254365","        31059.04"
"24-Jan-2020","    12307.25","    12410.80","    12282.70","    12386.95","      937241490","        23456.53"
"27-Jan-2020","    12336.75","    12363.15","    12249.45","    12262.65","      750304421","        22836.18"
"28-Jan-2020","    12292.40","    12311.00","    12175.80","    12203.20","      912989710","        27636.91"
"29-Jan-2020","    12262.75","    12312.60","    12251.30","    12276.95","      863864153","        25719.49"
"30-Jan-2020","    12295.10","    12297.30","    12144.25","    12165.40","      964503298","        25784.58"
"31-Jan-2020","    12228.95","    12232.50","    12071.00","    12086.90","     1147901344","        32201.52"
"01-Feb-2020","    12066.05","    12153.85","    11738.45","    11768.90","      861850212","        26736.34"
"03-Feb-2020","    11736.60","    11864.30","    11719.25","    11820.30","     1031833247","        32677.02"
"04-Feb-2020","    11900.05","    12099.35","    11898.90","    12091.00","      902955660","        30502.95"
"05-Feb-2020","    12121.05","    12219.95","    12071.90","    12212.00","     1096111366","        29749.51"
"06-Feb-2020","    12243.95","    12295.20","    12211.60","    12273.70","     1013558973","        32846.86"
"07-Feb-2020","    12286.85","    12290.15","    12223.70","    12249.25","      839983098","        24798.34"
"10-Feb-2020","    12253.95","    12254.95","    12144.05","    12185.35","      828817060","        23141.45"
"11-Feb-2020","    12260.20","    12317.70","    12237.80","    12246.20","      827144568","        23461.08"
"12-Feb-2020","    12288.15","    12362.00","    12282.20","    12327.70","      932387054","        24460.49"
"13-Feb-2020","    12342.25","    12347.10","    12266.25","    12301.75","      794527828","        22112.85"
"14-Feb-2020","    12314.25","    12369.40","    12210.05","    12230.45","     2214334346","        27360.17"
"17-Feb-2020","    12247.20","    12271.70","    12143.50","    12152.00","     1434093320","        20180.71"
"18-Feb-2020","    12133.60","    12134.45","    12009.55","    12098.90","     1524574950","        24093.02"
"19-Feb-2020","    12197.90","    12256.20","    12155.25","    12248.20","     1718114837","        24625.16"
"20-Feb-2020","    12242.25","    12288.90","    12202.75","    12211.30","     1724531604","        27469.65"
"24-Feb-2020","    12140.45","    12140.45","    11939.55","    11957.00","     1395035167","        26193.74"
"25-Feb-2020","    12007.30","    12018.45","    11900.60","    11917.30","     1278186416","        25453.59"
"26-Feb-2020","    11859.10","    11902.15","    11756.65","    11790.10","     1104078933","        28427.31"
"27-Feb-2020","    11773.95","    11776.10","    11646.05","    11746.85","     1244139818","        28322.90"
"28-Feb-2020","    11495.60","    11497.90","    11288.40","    11316.30","     1546581871","        42627.48"
"02-Mar-2020","    11500.85","    11560.15","    11153.65","    11251.55","     1249491066","        32933.97"
"03-Mar-2020","    11337.45","    11471.10","    11279.55","    11430.85","     1279395761","        30668.35"
"04-Mar-2020","    11481.55","    11485.50","    11205.95","    11372.85","     1274895204","        34539.84"
"05-Mar-2020","    11430.10","    11515.55","    11371.50","    11397.90","     1954755189","        33959.11"
"06-Mar-2020","    11061.85","    11163.00","    10957.40","    11119.65","     2394161843","        33293.23"
"09-Mar-2020","    10877.50","    10886.30","    10442.15","    10583.05","     2548062704","        42528.38"
"11-Mar-2020","    10476.65","    10673.25","    10475.10","    10578.00","     2227115701","        39439.35"
"12-Mar-2020","    10160.05","    10160.75","     9614.55","     9693.95","     2531991495","        48213.90"
"13-Mar-2020","     9177.30","    10248.00","     8642.20","    10050.25","     3211802047","        52776.56"
"16-Mar-2020","     9684.80","     9728.10","     9281.75","     9316.95","     2510748783","        35882.43"
"17-Mar-2020","     9395.10","     9531.95","     9056.35","     9105.40","     1917292875","        34565.89"
"18-Mar-2020","     9228.80","     9265.30","     8552.25","     8607.95","     4113890919","        47452.77"
"19-Mar-2020","     8198.20","     8703.85","     7964.40","     8388.70","     1965626432","        41562.69"
"20-Mar-2020","     8417.55","     8995.35","     8305.00","     8852.05","     2004820848","        45760.73"
"23-Mar-2020","     8057.35","     8272.35","     7694.20","     7719.10","     1228948752","        28137.78"
"24-Mar-2020","     7942.25","     8133.90","     7624.85","     7897.40","     1318518499","        33330.26"
"25-Mar-2020","     7827.50","     8442.80","     7815.00","     8388.20","     1158184925","        33725.02"
"26-Mar-2020","     8523.10","     8832.25","     8382.85","     8732.10","     1424521253","        39406.13"
"27-Mar-2020","     9032.45","     9135.85","     8614.35","     8747.05","     1309947851","        38419.20"
"30-Mar-2020","     8487.15","     8683.15","     8368.80","     8405.30","      893292409","        29004.95"
"31-Mar-2020","     8652.65","     8805.95","     8483.40","     8731.15","     1107770001","        32253.83"
"01-Apr-2020","     8722.10","     8725.70","     8351.75","     8404.15","      910933088","        25488.84"
"03-Apr-2020","     8497.75","     8497.75","     8213.25","     8240.20","     1135951449","        32267.62"
"07-Apr-2020","     8595.70","     8958.95","     8508.15","     8934.60","     1279303814","        42550.80"
"08-Apr-2020","     8842.60","     9288.35","     8806.85","     8921.30","     1451866382","        46311.32"
"09-Apr-2020","     9144.10","     9300.05","     9088.00","     9282.85","     1188555121","        40931.47"
"13-Apr-2020","     9276.20","     9282.95","     9080.20","     9177.70","     1738753990","        34515.90"
"15-Apr-2020","     9366.10","     9449.35","     9072.90","     9128.25","     1956343583","        50455.20"
"16-Apr-2020","     9057.55","     9258.05","     9020.55","     9197.10","     1470438278","        38832.98"
"17-Apr-2020","     9523.15","     9523.60","     9283.55","     9453.50","     1683221443","        42323.52"
"20-Apr-2020","     9573.75","     9574.20","     9416.85","     9442.60","     1384639426","        36228.06"
"21-Apr-2020","     9202.90","     9237.40","     9107.90","     9175.65","     1229727241","        36995.76"
"22-Apr-2020","     9215.55","     9388.30","     9130.85","     9372.30","     1473594215","        42639.31"
"23-Apr-2020","     9419.00","     9521.55","     9365.60","     9486.70","     1597917146","        37049.73"
"24-Apr-2020","     9340.80","     9463.45","     9312.15","     9323.70","     1232232691","        40835.66"
"27-Apr-2020","     9427.75","     9544.20","     9419.20","     9462.15","     1022920718","        34065.01"
"28-Apr-2020","     9570.60","     9582.40","     9434.15","     9545.05","     1167294737","        36412.49"
"29-Apr-2020","     9576.75","     9754.15","     9561.50","     9710.70","     1383333673","        38769.80"
"30-Apr-2020","     9906.05","    10031.95","     9883.55","    10006.90","     1643801529","        48154.19"
"04-May-2020","     9682.65","     9683.25","     9430.35","     9454.05","     1424063547","        37809.41"
"05-May-2020","     9591.70","     9615.80","     9344.55","     9358.90","     1220003370","        37305.02"
"06-May-2020","     9379.35","     9489.25","     9266.10","     9428.55","     1455393069","        38245.56"
"07-May-2020","     9394.25","     9437.80","     9335.50","     9351.45","     1076714362","        65216.51"
"08-May-2020","     9522.65","     9528.35","     9395.45","     9408.65","     1011497649","        36485.11"
"11-May-2020","     9505.95","     9596.80","     9393.45","     9411.70","     1916995744","        37488.23"
"12-May-2020","     9343.60","     9415.05","     9218.45","     9372.25","     1648822311","        44434.96"
"13-May-2020","     9752.35","     9752.45","     9518.80","     9552.65","     1710074994","        44540.75"
"14-May-2020","     9396.85","     9465.85","     9310.05","     9333.10","     1170951485","        37325.06"
"15-May-2020","     9371.90","     9372.05","     9240.95","     9320.60","     1080340845","        32597.28"
"18-May-2020","     9339.90","     9340.00","     8988.95","     9004.40","     1441748253","        40515.87"
"19-May-2020","     9140.95","     9209.25","     9036.05","     9060.15","     1915613615","        38341.53"
"20-May-2020","     9069.70","     9276.60","     9055.20","     9249.15","     1358836937","        36714.21"
"21-May-2020","     9265.75","     9366.75","     9243.80","     9299.80","     1335073201","        36437.05"
"22-May-2020","     9263.25","     9344.05","     9165.45","     9226.80","     1318601668","        38328.88"
"26-May-2020","     9284.35","     9341.40","     9187.80","     9219.60","     1141939246","        36694.87"
"27-May-2020","     9267.75","     9488.35","     9186.70","     9471.60","     1234643132","        40241.14"
"28-May-2020","     9519.70","     9669.05","     9492.75","     9648.20","     1701278974","        45022.21"
"29-May-2020","     9584.05","     9777.10","     9542.55","     9759.45","     3947490978","        61200.67"
"01-Jun-2020","     9900.70","    10093.15","     9882.70","     9996.40","     1791819753","        47449.27"
"02-Jun-2020","    10051.20","    10153.85","     9998.40","    10139.75","     2138778507","        45759.10"
"03-Jun-2020","    10266.90","    10336.65","    10194.05","    10220.25","     2215510124","        49058.64"
"04-Jun-2020","    10219.75","    10293.35","    10108.50","    10198.00","     2108980071","        46575.00"
"05-Jun-2020","    10265.70","    10357.50","    10213.85","    10324.15","     3270327392","        47732.95"
"08-Jun-2020","    10506.25","    10506.30","    10298.65","    10346.70","     3471432404","        49786.27"
"09-Jun-2020","    10367.75","    10472.80","    10202.70","    10231.25","     2788328255","        47367.79"
"10-Jun-2020","    10255.45","    10322.10","    10211.55","    10291.70","     2144837522","        37579.29"
"11-Jun-2020","    10271.65","    10297.95","    10066.60","    10082.10","     3371136358","        40894.26"
"12-Jun-2020","     9720.55","    10180.80","     9719.65","    10158.30","     2676409014","        45968.33"
"15-Jun-2020","    10113.40","    10141.15","     9924.10","    10005.80","     1909180732","        40173.96"
"16-Jun-2020","    10200.45","    10230.60","     9917.40","    10097.35","     2063440331","        44250.42"
"17-Jun-2020","    10060.15","    10186.15","    10020.95","    10069.75","     1459838530","        38092.94"
"18-Jun-2020","    10051.45","    10276.90","    10033.15","    10258.15","     1868154105","        35071.29"
"19-Jun-2020","    10289.00","    10434.60","    10246.75","    10407.75","     1958325647","        62395.47"
"22-Jun-2020","    10487.20","    10568.75","    10453.10","    10494.35","     2367953979","        45993.71"
"23-Jun-2020","    10534.95","    10674.40","    10491.50","    10660.80","     1565717249","        44163.30"
"24-Jun-2020","    10724.95","    10753.60","    10474.55","    10499.90","     1923412305","        52364.65"
"25-Jun-2020","    10431.05","    10558.45","    10392.70","    10486.55","     2059052209","        51391.78"
"26-Jun-2020","    10577.35","    10607.05","    10505.20","    10570.95","      878239139","        38248.85"
"29-Jun-2020","    10506.70","    10520.95","    10414.50","    10496.85","      749442398","        32615.22"
"30-Jun-2020","    10566.80","    10587.10","    10452.50","    10486.90","      749012846","        33795.01"
"01-Jul-2020","    10511.90","    10615.15","    10482.35","    10598.90","      781060066","        34141.89"
"02-Jul-2020","    10656.45","    10757.80","    10650.30","    10716.10","      843593478","        37914.89"
"03-Jul-2020","    10780.65","    10797.10","    10732.45","    10776.30","      788213226","        32439.85"
"06-Jul-2020","    10887.80","    10963.80","    10859.25","    10919.25","      780691759","        35943.94"
"07-Jul-2020","    10958.50","    10972.65","    10847.30","    10958.00","      902506185","        44769.51"
"08-Jul-2020","    10979.40","    11006.85","    10842.55","    10870.95","     1114696266","        46364.49"
"09-Jul-2020","    10918.85","    10984.60","    10898.85","    10962.70","      833206849","        37718.78"
"10-Jul-2020","    10918.50","    10975.80","    10868.75","    10919.70","      859764397","        37602.13"
"13-Jul-2020","    11001.05","    11036.05","    10902.45","    10953.75","      743013106","        36755.60"
"14-Jul-2020","    10906.25","    10911.00","    10725.70","    10768.60","      742921099","        38211.86"
"15-Jul-2020","    10859.30","    10974.40","    10730.80","    10769.60","      902729476","        48861.37"
"16-Jul-2020","    10852.30","    10893.80","    10734.40","    10879.90","      856719868","        47679.15"
"17-Jul-2020","    10895.50","    11074.80","    10893.15","    11045.85","      869154577","        43176.60"
"20-Jul-2020","    11138.50","    11174.35","    11094.05","    11159.45","      722089955","        39416.39"
"21-Jul-2020","    11261.30","    11300.90","    11244.65","    11283.90","      994338465","        50697.00"
"22-Jul-2020","    11348.95","    11355.00","    11173.95","    11249.45","      972531821","        48829.50"
"23-Jul-2020","    11255.60","    11356.15","    11225.45","    11334.30","      789250393","        39132.11"
"24-Jul-2020","    11270.80","    11326.95","    11202.20","    11297.75","      851553214","        46418.18"
"27-Jul-2020","    11328.90","    11328.90","    11188.25","    11231.30","      777995295","        41246.93"
"28-Jul-2020","    11255.05","    11404.50","    11253.15","    11388.40","      858690643","        45147.58"
"29-Jul-2020","    11369.55","    11428.15","    11258.80","    11310.85","      800172783","        45698.68"
"30-Jul-2020","    11361.95","    11403.95","    11207.90","    11231.30","      896041243","        48484.75"
"31-Jul-2020","    11269.25","    11286.20","    11177.10","    11222.95","      857549547","        45880.54"
"03-Aug-2020","    11208.55","    11208.95","    11046.95","    11056.00","      982402456","        41748.98"
"04-Aug-2020","    11113.65","    11258.85","    11074.05","    11244.10","      804498496","        41798.68"
"05-Aug-2020","    11304.40","    11368.40","    11213.25","    11248.40","      868007162","        42522.48"
"06-Aug-2020","    11329.50","    11396.15","    11278.15","    11345.45","      825662871","        40700.82"
"07-Aug-2020","    11337.20","    11377.15","    11297.15","    11361.40","      680924527","        36014.79"
"10-Aug-2020","    11426.30","    11491.95","    11401.55","    11433.00","      746983109","        40147.01"
"11-Aug-2020","    11486.15","    11531.50","    11455.95","    11471.25","      858386306","        39295.66"
"12-Aug-2020","    11441.05","    11470.90","    11389.70","    11458.25","      954983974","        38301.77"
"13-Aug-2020","    11488.10","    11512.65","    11429.25","    11458.90","      814730858","        36613.69"
"14-Aug-2020","    11511.40","    11525.95","    11269.40","    11337.55","      913132359","        42877.50"
"17-Aug-2020","    11411.20","    11422.70","    11296.85","    11402.85","      832239668","        34241.50"
"18-Aug-2020","    11419.20","    11556.85","    11412.85","    11541.95","      815036837","        35861.97"
"19-Aug-2020","    11608.90","    11618.55","    11550.95","    11564.50","      870414477","        35223.96"
"20-Aug-2020","    11478.50","    11524.65","    11451.50","    11479.00","     1061535618","        34934.05"
"21-Aug-2020","    11581.25","    11589.25","    11526.05","    11535.80","      906275671","        34000.12"
"24-Aug-2020","    11579.95","    11648.50","    11578.50","    11619.15","      747901386","        35185.82"
"25-Aug-2020","    11668.95","    11681.55","    11575.65","    11625.60","      835414982","        35521.81"
"26-Aug-2020","    11668.60","    11705.60","    11611.45","    11694.35","      913698261","        40845.02"
"27-Aug-2020","    11755.40","    11762.25","    11692.65","    11709.45","     1019748805","        40459.20"
"28-Aug-2020","    11755.60","    11830.70","    11743.25","    11791.50","     1242901428","        48776.40"
"31-Aug-2020","    11913.55","    11927.20","    11438.75","    11496.05","     1749528540","        72884.59"
"01-Sep-2020","    11570.15","    11651.65","    11477.85","    11586.60","     1031875168","        44305.26"
"02-Sep-2020","    11598.40","    11681.40","    11554.65","    11660.60","      792559954","        34401.76"
"03-Sep-2020","    11694.50","    11714.65","    11643.85","    11663.35","      756153040","        33133.08"
"04-Sep-2020","    11491.15","    11589.85","    11436.95","    11464.95","      874262419","        38749.87"
"07-Sep-2020","    11493.25","    11509.95","    11380.45","    11478.40","      709029632","        31191.09"
"08-Sep-2020","    11502.90","    11556.45","    11407.45","    11434.90","      723008019","        34424.40"
"09-Sep-2020","    11338.70","    11418.45","    11299.60","    11397.95","      897414151","        38916.21"
"10-Sep-2020","    11481.30","    11577.10","    11453.05","    11562.65","      825431885","        44886.91"
"11-Sep-2020","    11562.45","    11609.40","    11538.80","    11589.65","      696962368","        35443.49"
"14-Sep-2020","    11665.65","    11690.00","    11512.05","    11566.45","      802126364","        40359.63"
"15-Sep-2020","    11613.70","    11666.30","    11580.05","    11652.85","      670346837","        35205.63"
"16-Sep-2020","    11673.40","    11743.85","    11653.90","    11732.70","      729509772","        34807.60"
"17-Sep-2020","    11671.25","    11718.30","    11629.20","    11646.15","      664077965","        35481.54"
"18-Sep-2020","    11713.55","    11716.20","    11581.65","    11640.20","     1005722849","        60102.70"
"21-Sep-2020","    11642.00","    11661.45","    11332.50","    11367.25","      795322439","        44290.99"
"22-Sep-2020","    11411.05","    11411.45","    11177.05","    11264.55","      868986867","        42999.26"
"23-Sep-2020","    11366.85","    11369.40","    11135.75","    11241.60","      910056854","        41797.23"
"24-Sep-2020","    11122.55","    11127.65","    10906.70","    10922.25","      922902558","        42522.17"
"25-Sep-2020","    11029.50","    11198.10","    10974.90","    11176.30","      756633008","        37121.19"
"28-Sep-2020","    11270.55","    11375.45","    11233.55","    11365.25","      623662120","        29597.80"
"29-Sep-2020","    11429.40","    11449.45","    11314.45","    11353.65","      685046809","        33015.47"
"30-Sep-2020","    11380.20","    11431.65","    11320.00","    11385.20","      690244326","        34516.14"
"01-Oct-2020","    11499.65","    11557.40","    11484.25","    11545.90","      640143018","        31478.81"
"05-Oct-2020","    11616.60","    11693.30","    11574.50","    11625.60","      699911432","        36707.18"
"06-Oct-2020","    11722.50","    11787.20","    11688.05","    11770.75","      736680622","        36210.06"
"07-Oct-2020","    11787.45","    11857.40","    11741.35","    11833.90","      684365686","        38608.11"
"08-Oct-2020","    11926.10","    11986.95","    11876.60","    11925.40","      808567864","        44699.47"
"09-Oct-2020","    11944.50","    12014.95","    11897.40","    11990.70","      827498785","        41369.63"
"12-Oct-2020","    12047.05","    12088.90","    11936.90","    11999.05","      711357331","        32117.11"
"13-Oct-2020","    12000.55","    12056.35","    11959.50","    11995.70","      629775818","        36152.51"
"14-Oct-2020","    11980.60","    12064.00","    11893.45","    12039.05","      767926416","        37167.70"
"15-Oct-2020","    12089.55","    12091.05","    11738.70","    11758.20","      791428317","        41312.48"
"16-Oct-2020","    11804.25","    11867.20","    11744.10","    11843.35","      716895894","        36140.71"
"19-Oct-2020","    11953.75","    11970.45","    11896.10","    11952.90","      726821093","        35850.29"
"20-Oct-2020","    11941.65","    12023.30","    11919.00","    11976.85","      643639359","        34828.02"
"21-Oct-2020","    12036.80","    12092.05","    11851.90","    12009.00","      820394742","        43852.90"
"22-Oct-2020","    11965.85","    12009.70","    11899.10","    11971.80","      733945468","        39703.88"
"23-Oct-2020","    12029.40","    12045.35","    11985.15","    12006.10","      687236336","        34084.62"
"26-Oct-2020","    12017.75","    12022.10","    11788.70","    11842.70","      706561684","        35029.86"
"27-Oct-2020","    11880.30","    11981.70","    11800.20","    11971.90","      816605902","        45380.87"
"28-Oct-2020","    12006.50","    12012.20","    11778.40","    11819.05","      879800110","        42646.97"
"29-Oct-2020","    11723.25","    11838.20","    11700.05","    11774.40","      749082716","        36797.43"
"30-Oct-2020","    11784.85","    11855.90","    11646.90","    11748.95","      785993622","        35300.84"
"02-Nov-2020","    11803.05","    11830.65","    11675.25","    11777.85","      823729504","        41773.08"
"03-Nov-2020","    11843.65","    11937.20","    11834.20","    11913.35","      953802242","        44926.34"
"04-Nov-2020","    11890.90","    12026.15","    11860.75","    12007.10","      863156499","        44335.85"
"05-Nov-2020","    12150.35","    12225.90","    12127.45","    12217.90","      899249402","        40735.01"
"06-Nov-2020","    12252.45","    12364.90","    12232.35","    12349.15","      804054661","        42519.32"
"09-Nov-2020","    12482.95","    12557.60","    12448.95","    12545.45","      800136997","        41978.86"
"10-Nov-2020","    12639.50","    12695.25","    12556.25","    12683.35","     1139971706","        60915.72"
"11-Nov-2020","    12733.30","    12824.00","    12634.50","    12805.60","     1164551800","        64033.00"
"12-Nov-2020","    12766.75","    12805.70","    12699.90","    12764.05","      844441019","        45480.60"
"13-Nov-2020","    12735.60","    12815.55","    12691.90","    12804.25","      716108427","        41532.37"
"14-Nov-2020","    12906.30","    12911.40","    12833.55","    12864.60","      137370936","         6119.02"
"17-Nov-2020","    13007.45","    13008.35","    12884.95","    12960.90","      920879716","        49140.99"
"18-Nov-2020","    12948.25","    13032.60","    12904.15","    13022.75","     1043099227","        48169.20"
"19-Nov-2020","    12931.65","    13055.50","    12840.00","    12864.85","     1009610819","        52892.07"
"20-Nov-2020","    12904.70","    12992.35","    12832.10","    12962.45","      902734567","        51609.15"
"23-Nov-2020","    13062.35","    13076.00","    12946.65","    13036.65","      842348668","        50027.77"
"24-Nov-2020","    13110.80","    13179.10","    13090.10","    13158.30","      810989180","        45672.28"
"25-Nov-2020","    13231.90","    13244.80","    12935.55","    12959.80","     1023380383","        45734.55"
"26-Nov-2020","    13001.40","    13117.05","    12900.10","    13087.75","      805810513","        43729.55"
"27-Nov-2020","    13117.10","    13146.85","    13030.25","    13080.30","     1665879376","       104035.38"
"01-Dec-2020","    13180.20","    13244.30","    13088.05","    13225.70","      871453843","        41606.09"
